"","date","AMEH"
"872","2012-08-22",5.5
"873","2012-08-23",5.5
"874","2012-08-24",5.5
"875","2012-08-27",4.7
"876","2012-08-28",4.7
"877","2012-08-29",4.7
"878","2012-08-30",4.7
"879","2012-08-31",4.7
"880","2012-09-04",4.7
"881","2012-09-05",4.7
"882","2012-09-06",4.7
"883","2012-09-07",4.7
"884","2012-09-10",4.7
"885","2012-09-11",4.7
"886","2012-09-12",4.7
"887","2012-09-13",4.2
"888","2012-09-14",4.2
"889","2012-09-17",2.5
"890","2012-09-18",4.1
"891","2012-09-19",4.1
"892","2012-09-20",4.1
"893","2012-09-21",4.1
"894","2012-09-24",4.1
"895","2012-09-25",4.1
"896","2012-09-26",4.1
"897","2012-09-27",4.1
"898","2012-09-28",4.5
"899","2012-10-01",4.5
"900","2012-10-02",4.6
"901","2012-10-03",5
"902","2012-10-04",5
"903","2012-10-05",5
"904","2012-10-08",5
"905","2012-10-09",5
"906","2012-10-10",4.9
"907","2012-10-11",4.9
"908","2012-10-12",4.9
"909","2012-10-15",4.9
"910","2012-10-16",4.5
"911","2012-10-17",4.5
"912","2012-10-18",5
"913","2012-10-19",6.3
"914","2012-10-22",6.3
"915","2012-10-23",6.3
"916","2012-10-24",6.3
"917","2012-10-25",6.3
"918","2012-10-26",6.3
"919","2012-10-31",6.3
"920","2012-11-01",6.3
"921","2012-11-02",6.3
"922","2012-11-05",6.3
"923","2012-11-06",6.3
"924","2012-11-07",6.3
"925","2012-11-08",6.3
"926","2012-11-09",6.3
"927","2012-11-12",6.3
"928","2012-11-13",6.3
"929","2012-11-14",6
"930","2012-11-15",6
"931","2012-11-16",6
"932","2012-11-19",6
"933","2012-11-20",6
"934","2012-11-21",6.3
"935","2012-11-23",6.3
"936","2012-11-26",6.3
"937","2012-11-27",6.3
"938","2012-11-28",5.5
"939","2012-11-29",5.5
"940","2012-11-30",5.5
"941","2012-12-03",5.5
"942","2012-12-04",5.5
"943","2012-12-05",13.8
"944","2012-12-06",12.5
"945","2012-12-07",12.5
"946","2012-12-10",12.5
"947","2012-12-11",11
