"","date","PDSB"
"955","2019-07-17",6.18
"956","2019-07-18",6.3
"957","2019-07-19",6.24
"958","2019-07-22",6.28
"959","2019-07-23",5.995
"960","2019-07-24",6.02
"961","2019-07-25",5.75
"962","2019-07-26",5.76
"963","2019-07-29",6
"964","2019-07-30",6.71
"965","2019-07-31",6.5
"966","2019-08-01",6.3
"967","2019-08-02",6.57
"968","2019-08-05",6.34
"969","2019-08-06",6.47
"970","2019-08-07",6.52
"971","2019-08-08",6.51
"972","2019-08-09",6.46
"973","2019-08-12",6.5
"974","2019-08-13",6.31
"975","2019-08-14",6.3
"976","2019-08-15",6.35
"977","2019-08-16",6.5
"978","2019-08-19",6.45
"979","2019-08-20",6.15
"980","2019-08-21",5.87
"981","2019-08-22",5.92
"982","2019-08-23",5.77
"983","2019-08-26",5.77
"984","2019-08-27",5.69
