"","date","EIGR"
"840","2017-05-31",6.65
"841","2017-06-01",6.95
"842","2017-06-02",6.95
"843","2017-06-05",6.85
"844","2017-06-06",6.85
"845","2017-06-07",6.95
"846","2017-06-08",6.9
"847","2017-06-09",6.9
"848","2017-06-12",6.6
"849","2017-06-13",6.4
"850","2017-06-14",6.45
"851","2017-06-15",6.25
"852","2017-06-16",6.5
"853","2017-06-19",6.7
"854","2017-06-20",6.75
"855","2017-06-21",6.95
"856","2017-06-22",7.1
"857","2017-06-23",6.95
"858","2017-06-26",7
"859","2017-06-27",7.05
"860","2017-06-28",7
"861","2017-06-29",7.75
"862","2017-06-30",7.9
"863","2017-07-03",8
"864","2017-07-05",8
"865","2017-07-06",7.9
"866","2017-07-07",7.7
"867","2017-07-10",7.6
"868","2017-07-11",7.5
"869","2017-07-12",7.3
"870","2017-07-13",7.45
"871","2017-07-14",9.25
"872","2017-07-17",9.95
"873","2017-07-18",9.55
"874","2017-07-19",9.55
"875","2017-07-20",9.9
"876","2017-07-21",9.75
"877","2017-07-24",9.45
"878","2017-07-25",9.1
"879","2017-07-26",9.05
"880","2017-07-27",8.9
"881","2017-07-28",8.6
"882","2017-07-31",8.7
"883","2017-08-01",8.55
"884","2017-08-02",8.4
"885","2017-08-03",8.55
"886","2017-08-04",8.65
"887","2017-08-07",8.25
"888","2017-08-08",8.2
"889","2017-08-09",7.7
"890","2017-08-10",7.8
"891","2017-08-11",8.05
"892","2017-08-14",8
"893","2017-08-15",8.075
"894","2017-08-16",8
"895","2017-08-17",7.8
"896","2017-08-18",7.85
"897","2017-08-21",7.85
"898","2017-08-22",8.05
"899","2017-08-23",8.05
"900","2017-08-24",8.2
"901","2017-08-25",8
"902","2017-08-28",8.2
"903","2017-08-29",8.25
"904","2017-08-30",9.025
"905","2017-08-31",9.25
"906","2017-09-01",9.6
"907","2017-09-05",9.65
"908","2017-09-06",9.9
"909","2017-09-07",10
"910","2017-09-08",9.8
"911","2017-09-11",10.15
"912","2017-09-12",10.5
"913","2017-09-13",10.3
"914","2017-09-14",10.5
"915","2017-09-15",11.15
"916","2017-09-18",11.55
"917","2017-09-19",10.809
"918","2017-09-20",10.75
"919","2017-09-21",10.55
"920","2017-09-22",10.55
"921","2017-09-25",10.85
"922","2017-09-26",10.9
"923","2017-09-27",10.95
"924","2017-09-28",10.75
"925","2017-09-29",11
"926","2017-10-02",11.7
"927","2017-10-03",11.5
"928","2017-10-04",12
"929","2017-10-05",12.45
"930","2017-10-06",12.85
"931","2017-10-09",13.6
"932","2017-10-10",13.3
"933","2017-10-11",13.55
"934","2017-10-12",13.85
"935","2017-10-13",13.2
"936","2017-10-16",11.85
"937","2017-10-17",11.5
"938","2017-10-18",11.65
"939","2017-10-19",12.25
"940","2017-10-20",12.8
"941","2017-10-23",12
"942","2017-10-24",11
"943","2017-10-25",11.2
"944","2017-10-26",10.8
"945","2017-10-27",11.6
"946","2017-10-30",10.9
"947","2017-10-31",11.15
"948","2017-11-01",10.6
"949","2017-11-02",10.75
