"","date","SNSS"
"928","2010-09-08",140.399994
"929","2010-09-09",140.399994
"930","2010-09-10",136.800003
"931","2010-09-13",158.399994
"932","2010-09-14",162
"933","2010-09-15",158.399994
"934","2010-09-16",162
"935","2010-09-17",140.399994
"936","2010-09-20",147.600006
"937","2010-09-21",147.600006
"938","2010-09-22",144
"939","2010-09-23",144
"940","2010-09-24",144
"941","2010-09-27",154.800003
"942","2010-09-28",158.399994
"943","2010-09-29",151.199997
"944","2010-09-30",151.199997
"945","2010-10-01",111.599998
"946","2010-10-04",115.199997
"947","2010-10-05",115.199997
"948","2010-10-06",115.199997
"949","2010-10-07",108
"950","2010-10-08",104.400002
"951","2010-10-11",111.599998
"952","2010-10-12",111.599998
"953","2010-10-13",111.599998
"954","2010-10-14",111.599998
"955","2010-10-15",111.599998
"956","2010-10-18",115.199997
"957","2010-10-19",118.800003
"958","2010-10-20",122.400002
"959","2010-10-21",126
"960","2010-10-22",126
"961","2010-10-25",122.400002
"962","2010-10-26",118.800003
"963","2010-10-27",115.199997
"964","2010-10-28",115.199997
"965","2010-10-29",118.800003
"966","2010-11-01",111.599998
"967","2010-11-02",111.599998
"968","2010-11-03",115.199997
"969","2010-11-04",111.599998
"970","2010-11-05",111.599998
"971","2010-11-08",111.599998
"972","2010-11-09",111.599998
"973","2010-11-10",118.800003
