"","date","BGNE"
"816","2019-05-01",126.190002
"817","2019-05-02",126.839996
"818","2019-05-03",130.589996
"819","2019-05-06",128.110001
"820","2019-05-07",123.470001
"821","2019-05-08",117.5
"822","2019-05-09",121.239998
"823","2019-05-10",134.220001
"824","2019-05-13",123.459999
"825","2019-05-14",133.449997
"826","2019-05-15",133.449997
"827","2019-05-16",138.240005
"828","2019-05-17",131.490005
"829","2019-05-20",123.830002
"830","2019-05-21",130.630005
"831","2019-05-22",129.720001
"832","2019-05-23",128.339996
"833","2019-05-24",126.610001
"834","2019-05-28",123.110001
"835","2019-05-29",121.980003
"836","2019-05-30",120.169998
"837","2019-05-31",117.93
"838","2019-06-03",116.900002
"839","2019-06-04",120.300003
"840","2019-06-05",119.959999
"841","2019-06-06",119.809998
"842","2019-06-07",122.5
"843","2019-06-10",123.209999
"844","2019-06-11",127.629997
"845","2019-06-12",127
"846","2019-06-13",125.089996
"847","2019-06-14",117.620003
"848","2019-06-17",113.989998
"849","2019-06-18",116.529999
"850","2019-06-19",119.910004
"851","2019-06-20",121.18
"852","2019-06-21",121.379997
"853","2019-06-24",120.32
"854","2019-06-25",121.019997
"855","2019-06-26",124.660004
"856","2019-06-27",125.660004
"857","2019-06-28",123.949997
"858","2019-07-01",127.040001
"859","2019-07-02",127.309998
"860","2019-07-03",129.960007
"861","2019-07-05",127.910004
"862","2019-07-08",128.050003
"863","2019-07-09",128.649994
"864","2019-07-10",124.269997
"865","2019-07-11",122.360001
"866","2019-07-12",122.699997
"867","2019-07-15",122.910004
"868","2019-07-16",121.169998
"869","2019-07-17",121.190002
"870","2019-07-18",124.400002
"871","2019-07-19",124.360001
"872","2019-07-22",129.509995
"873","2019-07-23",129.089996
"874","2019-07-24",129
"875","2019-07-25",130.199997
"876","2019-07-26",132.789993
"877","2019-07-29",135.740005
"878","2019-07-30",137.199997
"879","2019-07-31",137.339996
"880","2019-08-01",136.270004
"881","2019-08-02",137.789993
"882","2019-08-05",129.740005
"883","2019-08-06",131.25
"884","2019-08-07",130.830002
"885","2019-08-08",133.479996
"886","2019-08-09",132.979996
"887","2019-08-12",135.350006
"888","2019-08-13",135.899994
"889","2019-08-14",139.710007
"890","2019-08-15",141.190002
"891","2019-08-16",143.759995
"892","2019-08-19",148.289993
"893","2019-08-20",145.149994
"894","2019-08-21",146.039993
"895","2019-08-22",143.75
"896","2019-08-23",142.729996
"897","2019-08-26",142.169998
"898","2019-08-27",141.610001
"899","2019-08-28",139.869995
"900","2019-08-29",144.809998
"901","2019-08-30",143.75
"902","2019-09-03",145.539993
"903","2019-09-04",140.559998
"904","2019-09-05",131.029999
"905","2019-09-06",120.610001
"906","2019-09-09",125.449997
"907","2019-09-10",127.449997
"908","2019-09-11",128.080002
"909","2019-09-12",133.089996
"910","2019-09-13",134.190002
"911","2019-09-16",132.009995
"912","2019-09-17",133.119995
"913","2019-09-18",130.899994
"914","2019-09-19",132.949997
"915","2019-09-20",135.520004
"916","2019-09-23",135.070007
"917","2019-09-24",133.320007
"918","2019-09-25",129.990005
"919","2019-09-26",128.119995
"920","2019-09-27",121.589996
"921","2019-09-30",122.459999
"922","2019-10-01",119.480003
"923","2019-10-02",120.879997
"924","2019-10-03",121.139999
"925","2019-10-04",122.25
"926","2019-10-07",120.510002
"927","2019-10-08",115.779999
"928","2019-10-09",115.870003
"929","2019-10-10",116.550003
"930","2019-10-11",119.449997
"931","2019-10-14",122.5
"932","2019-10-15",124.82
"933","2019-10-16",126.519997
"934","2019-10-17",133.270004
"935","2019-10-18",132.279999
"936","2019-10-21",133
"937","2019-10-22",135.759995
"938","2019-10-23",137.910004
"939","2019-10-24",139.050003
"940","2019-10-25",138.889999
"941","2019-10-28",140.880005
"942","2019-10-29",138.860001
"943","2019-10-30",139.070007
"944","2019-10-31",138.339996
"945","2019-11-01",189.559998
"946","2019-11-04",191.179993
"947","2019-11-05",190.070007
