"","date","EGBN"
"838","2010-04-30",11.454545
"839","2010-05-03",11.790909
"840","2010-05-04",11.672728
"841","2010-05-05",11.545455
"842","2010-05-06",11.618182
"843","2010-05-07",11.618182
"844","2010-05-10",11.954545
"845","2010-05-11",12.209091
"846","2010-05-12",12.381818
"847","2010-05-13",12.954545
"848","2010-05-14",12.554545
"849","2010-05-17",12.718182
"850","2010-05-18",12.463636
"851","2010-05-19",12.436363
"852","2010-05-20",11.536364
"853","2010-05-21",11.454545
"854","2010-05-24",11.563637
"855","2010-05-25",11.463636
"856","2010-05-26",11.636364
"857","2010-05-27",11.972727
"858","2010-05-28",11.845454
"859","2010-06-01",11.490909
"860","2010-06-02",11.781818
"861","2010-06-03",11.654546
"862","2010-06-04",10.7
"863","2010-06-07",10.590909
"864","2010-06-08",10.809091
"865","2010-06-09",10.681818
"866","2010-06-10",11.045455
"867","2010-06-11",11.1
"868","2010-06-14",11.172728
"869","2010-06-15",11.290909
"870","2010-06-16",11.127273
"871","2010-06-17",11.190909
"872","2010-06-18",11.2
"873","2010-06-21",11.090909
"874","2010-06-22",10.818182
"875","2010-06-23",10.881818
"876","2010-06-24",10.654546
"877","2010-06-25",11.663636
"878","2010-06-28",10.945455
"879","2010-06-29",10.790909
"880","2010-06-30",10.709091
"881","2010-07-01",10.690909
"882","2010-07-02",10.681818
"883","2010-07-06",10.672728
"884","2010-07-07",10.672728
"885","2010-07-08",10.545455
"886","2010-07-09",10.490909
"887","2010-07-12",10.4
"888","2010-07-13",10.809091
"889","2010-07-14",10.627273
"890","2010-07-15",10.390909
"891","2010-07-16",10
"892","2010-07-19",9.927273
"893","2010-07-20",9.881818
"894","2010-07-21",9.545455
"895","2010-07-22",9.663636
"896","2010-07-23",9.681818
"897","2010-07-26",9.854546
"898","2010-07-27",9.918181
"899","2010-07-28",9.790909
"900","2010-07-29",9.972727
"901","2010-07-30",10.509091
"902","2010-08-02",10.281818
"903","2010-08-03",10.236363
"904","2010-08-04",10.336364
"905","2010-08-05",10.272727
"906","2010-08-06",10.345454
"907","2010-08-09",10.5
"908","2010-08-10",10.227273
"909","2010-08-11",10.045455
"910","2010-08-12",10.018182
"911","2010-08-13",9.927273
"912","2010-08-16",10.018182
"913","2010-08-17",10.318182
"914","2010-08-18",10.354546
"915","2010-08-19",10.181818
"916","2010-08-20",10.236363
"917","2010-08-23",10
"918","2010-08-24",9.990909
"919","2010-08-25",10.118182
"920","2010-08-26",9.972727
