"","date","KFRC"
"867","2010-06-11",12.53
"868","2010-06-14",12.44
"869","2010-06-15",12.77
"870","2010-06-16",12.63
"871","2010-06-17",12.57
"872","2010-06-18",12.42
"873","2010-06-21",12.45
"874","2010-06-22",12.11
"875","2010-06-23",12.23
"876","2010-06-24",12.14
"877","2010-06-25",12.44
"878","2010-06-28",12.72
"879","2010-06-29",12.51
"880","2010-06-30",12.75
"881","2010-07-01",12
"882","2010-07-02",11.61
"883","2010-07-06",11.18
"884","2010-07-07",12.11
"885","2010-07-08",11.9
"886","2010-07-09",11.94
"887","2010-07-12",11.81
"888","2010-07-13",12.14
"889","2010-07-14",12.3
"890","2010-07-15",12.19
"891","2010-07-16",11.97
"892","2010-07-19",12.08
"893","2010-07-20",12.92
"894","2010-07-21",12.82
"895","2010-07-22",13.39
"896","2010-07-23",14.29
"897","2010-07-26",14.12
"898","2010-07-27",13.85
"899","2010-07-28",13.44
"900","2010-07-29",13.41
"901","2010-07-30",13.51
"902","2010-08-02",14.06
"903","2010-08-03",14
"904","2010-08-04",14.13
"905","2010-08-05",14.01
"906","2010-08-06",13.67
"907","2010-08-09",13.99
"908","2010-08-10",13.73
"909","2010-08-11",13.35
"910","2010-08-12",12.91
"911","2010-08-13",12.57
"912","2010-08-16",12.75
"913","2010-08-17",13.36
"914","2010-08-18",13.17
"915","2010-08-19",12.08
"916","2010-08-20",11.73
"917","2010-08-23",11.18
"918","2010-08-24",10.67
"919","2010-08-25",10.51
"920","2010-08-26",10.24
"921","2010-08-27",10.71
"922","2010-08-30",10.65
"923","2010-08-31",10.57
"924","2010-09-01",11.29
"925","2010-09-02",11.49
"926","2010-09-03",12.45
"927","2010-09-07",12.27
"928","2010-09-08",12.54
"929","2010-09-09",12.96
"930","2010-09-10",12.92
"931","2010-09-13",13.41
"932","2010-09-14",13.41
"933","2010-09-15",13.24
"934","2010-09-16",13.17
"935","2010-09-17",13.2
"936","2010-09-20",13.63
"937","2010-09-21",13.58
"938","2010-09-22",13.4
"939","2010-09-23",13.04
"940","2010-09-24",13.5
"941","2010-09-27",13.49
"942","2010-09-28",13.49
"943","2010-09-29",13.6
"944","2010-09-30",13.72
"945","2010-10-01",13.4
"946","2010-10-04",13.16
"947","2010-10-05",14.14
"948","2010-10-06",14.18
"949","2010-10-07",14.36
"950","2010-10-08",14.37
"951","2010-10-11",14.5
"952","2010-10-12",14.14
"953","2010-10-13",14.34
"954","2010-10-14",14.41
"955","2010-10-15",14.46
"956","2010-10-18",14.96
"957","2010-10-19",14.85
"958","2010-10-20",15.14
"959","2010-10-21",15.35
"960","2010-10-22",15.52
"961","2010-10-25",15.62
"962","2010-10-26",15.4
"963","2010-10-27",15.15
"964","2010-10-28",14.94
"965","2010-10-29",15.01
"966","2010-11-01",14.93
"967","2010-11-02",15.15
"968","2010-11-03",15.16
"969","2010-11-04",15.45
"970","2010-11-05",15.52
"971","2010-11-08",15.46
"972","2010-11-09",15.43
"973","2010-11-10",15.59
"974","2010-11-11",15.51
"975","2010-11-12",15.4
"976","2010-11-15",15.43
"977","2010-11-16",14.89
"978","2010-11-17",14.74
"979","2010-11-18",15.21
"980","2010-11-19",15.03
"981","2010-11-22",15.07
"982","2010-11-23",15
"983","2010-11-24",15.43
"984","2010-11-26",15.36
"985","2010-11-29",15.4
"986","2010-11-30",15.11
"987","2010-12-01",15.36
"988","2010-12-02",15.59
"989","2010-12-03",15.73
"990","2010-12-06",15.94
"991","2010-12-07",16.110001
"992","2010-12-08",16.27
"993","2010-12-09",16.59
"994","2010-12-10",16.74
"995","2010-12-13",16.59
"996","2010-12-14",16.57
