"","date","RUSHB"
"885","2010-07-08",7.426667
"886","2010-07-09",7.42
"887","2010-07-12",7.38
"888","2010-07-13",8.1
"889","2010-07-14",7.88
"890","2010-07-15",7.84
"891","2010-07-16",7.506667
"892","2010-07-19",7.46
"893","2010-07-20",7.86
"894","2010-07-21",7.873333
"895","2010-07-22",8.353333
"896","2010-07-23",8.566667
"897","2010-07-26",8.786667
"898","2010-07-27",8.646667
"899","2010-07-28",8.553333
"900","2010-07-29",8.7
"901","2010-07-30",8.726666
"902","2010-08-02",9.133333
"903","2010-08-03",8.946667
"904","2010-08-04",8.946667
"905","2010-08-05",8.686666
"906","2010-08-06",8.68
"907","2010-08-09",8.673333
"908","2010-08-10",8.006667
"909","2010-08-11",7.666667
"910","2010-08-12",7.753334
"911","2010-08-13",7.666667
"912","2010-08-16",7.786667
"913","2010-08-17",8.04
"914","2010-08-18",8.22
"915","2010-08-19",7.773334
"916","2010-08-20",7.746666
"917","2010-08-23",7.58
"918","2010-08-24",7.593333
"919","2010-08-25",7.713333
"920","2010-08-26",7.733333
"921","2010-08-27",7.8
"922","2010-08-30",7.766667
"923","2010-08-31",7.666667
"924","2010-09-01",8.266666
"925","2010-09-02",8.44
"926","2010-09-03",8.366667
"927","2010-09-07",8.106667
"928","2010-09-08",8.146667
"929","2010-09-09",8.373333
"930","2010-09-10",8.806666
"931","2010-09-13",9.013333
"932","2010-09-14",8.833333
"933","2010-09-15",8.92
"934","2010-09-16",8.793333
"935","2010-09-17",8.86
"936","2010-09-20",8.726666
"937","2010-09-21",8.773334
"938","2010-09-22",8.566667
"939","2010-09-23",8.666667
"940","2010-09-24",9.013333
"941","2010-09-27",8.893333
"942","2010-09-28",9.126667
"943","2010-09-29",9.033334
"944","2010-09-30",9.166667
"945","2010-10-01",8.966666
"946","2010-10-04",8.653334
"947","2010-10-05",9
