"","date","SAGE"
"728","2017-06-07",72.739998
"729","2017-06-08",74.860001
"730","2017-06-09",74.309998
"731","2017-06-12",74.32
"732","2017-06-13",78.349998
"733","2017-06-14",77.93
"734","2017-06-15",77.150002
"735","2017-06-16",79.709999
"736","2017-06-19",83.900002
"737","2017-06-20",81
"738","2017-06-21",83.309998
"739","2017-06-22",84.940002
"740","2017-06-23",84.230003
"741","2017-06-26",82.029999
"742","2017-06-27",76.010002
"743","2017-06-28",79.260002
"744","2017-06-29",78.940002
"745","2017-06-30",79.639999
"746","2017-07-03",80.309998
"747","2017-07-05",81.599998
"748","2017-07-06",79.989998
"749","2017-07-07",81.43
"750","2017-07-10",79.150002
"751","2017-07-11",80.43
"752","2017-07-12",79.709999
"753","2017-07-13",80.870003
"754","2017-07-14",81.550003
"755","2017-07-17",82.779999
"756","2017-07-18",81.690002
"757","2017-07-19",80.970001
"758","2017-07-20",81.410004
"759","2017-07-21",83.610001
"760","2017-07-24",85.889999
"761","2017-07-25",84.269997
"762","2017-07-26",83.830002
"763","2017-07-27",80.529999
"764","2017-07-28",81.82
"765","2017-07-31",79.75
"766","2017-08-01",78.949997
"767","2017-08-02",80.760002
"768","2017-08-03",78.400002
"769","2017-08-04",87
"770","2017-08-07",88.510002
"771","2017-08-08",84.400002
"772","2017-08-09",85.669998
"773","2017-08-10",83.610001
"774","2017-08-11",84.68
"775","2017-08-14",84.269997
"776","2017-08-15",84.790001
"777","2017-08-16",84.309998
"778","2017-08-17",81.25
"779","2017-08-18",80.879997
"780","2017-08-21",80.43
"781","2017-08-22",82.059998
"782","2017-08-23",81
"783","2017-08-24",81.43
"784","2017-08-25",78.629997
"785","2017-08-28",78.360001
"786","2017-08-29",78.900002
"787","2017-08-30",80.370003
"788","2017-08-31",82.25
"789","2017-09-01",87
"790","2017-09-05",85.160004
"791","2017-09-06",85.980003
"792","2017-09-07",86.589996
"793","2017-09-08",87
"794","2017-09-11",88.519997
"795","2017-09-12",76.400002
"796","2017-09-13",70.370003
"797","2017-09-14",64.849998
"798","2017-09-15",62.360001
"799","2017-09-18",62.700001
"800","2017-09-19",61.400002
"801","2017-09-20",64.419998
"802","2017-09-21",64.989998
"803","2017-09-22",62.900002
"804","2017-09-25",63.34
"805","2017-09-26",63.209999
"806","2017-09-27",63.049999
"807","2017-09-28",62.880001
"808","2017-09-29",62.299999
"809","2017-10-02",63.310001
"810","2017-10-03",64.330002
"811","2017-10-04",64.690002
"812","2017-10-05",63.689999
"813","2017-10-06",64.099998
"814","2017-10-09",64.040001
"815","2017-10-10",62.470001
"816","2017-10-11",62.68
"817","2017-10-12",62.060001
"818","2017-10-13",61.349998
"819","2017-10-16",61.43
"820","2017-10-17",63.32
"821","2017-10-18",62.84
"822","2017-10-19",62.919998
"823","2017-10-20",63.5
"824","2017-10-23",61.360001
"825","2017-10-24",61.669998
"826","2017-10-25",61.630001
"827","2017-10-26",60.720001
"828","2017-10-27",64.190002
"829","2017-10-30",63.360001
"830","2017-10-31",63.279999
"831","2017-11-01",61.830002
"832","2017-11-02",62.560001
"833","2017-11-03",69.080002
"834","2017-11-06",65.489998
"835","2017-11-07",63.759998
"836","2017-11-08",62.66
"837","2017-11-09",96.650002
"838","2017-11-10",96.040001
"839","2017-11-13",94.650002
"840","2017-11-14",88.25
"841","2017-11-15",85.470001
"842","2017-11-16",85.669998
"843","2017-11-17",85.68
"844","2017-11-20",83.889999
"845","2017-11-21",89.940002
"846","2017-11-22",95.440002
"847","2017-11-24",97.709999
"848","2017-11-27",96.330002
"849","2017-11-28",96.010002
"850","2017-11-29",94.150002
"851","2017-11-30",92.410004
"852","2017-12-01",93.019997
"853","2017-12-04",92.660004
"854","2017-12-05",89.790001
"855","2017-12-06",91.900002
"856","2017-12-07",156.270004
"857","2017-12-08",167.339996
"858","2017-12-11",163.330002
"859","2017-12-12",160.440002
"860","2017-12-13",164.649994
"861","2017-12-14",158.029999
"862","2017-12-15",162.320007
"863","2017-12-18",164.320007
"864","2017-12-19",161.369995
"865","2017-12-20",163.440002
"866","2017-12-21",155.399994
"867","2017-12-22",165.889999
"868","2017-12-26",156.139999
"869","2017-12-27",164.160004
"870","2017-12-28",166.190002
"871","2017-12-29",164.710007
"872","2018-01-02",166.660004
"873","2018-01-03",170.169998
"874","2018-01-04",166.440002
"875","2018-01-05",169.25
"876","2018-01-08",162.610001
"877","2018-01-09",171.009995
"878","2018-01-10",177.369995
"879","2018-01-11",174.600006
"880","2018-01-12",175.860001
"881","2018-01-16",168.350006
"882","2018-01-17",168.479996
"883","2018-01-18",166.710007
"884","2018-01-19",169.460007
"885","2018-01-22",168.669998
"886","2018-01-23",180.529999
"887","2018-01-24",180.259995
"888","2018-01-25",183.080002
"889","2018-01-26",183.470001
"890","2018-01-29",184.339996
"891","2018-01-30",184.660004
"892","2018-01-31",189.800003
"893","2018-02-01",192.330002
"894","2018-02-02",186.779999
"895","2018-02-05",179.190002
"896","2018-02-06",179.899994
"897","2018-02-07",177.380005
"898","2018-02-08",166.050003
"899","2018-02-09",152.149994
"900","2018-02-12",159.339996
"901","2018-02-13",160.100006
"902","2018-02-14",164.130005
"903","2018-02-15",163.600006
"904","2018-02-16",162.369995
"905","2018-02-20",163.179993
"906","2018-02-21",163.860001
"907","2018-02-22",155.399994
"908","2018-02-23",164.149994
"909","2018-02-26",167.470001
"910","2018-02-27",163.259995
"911","2018-02-28",161.360001
"912","2018-03-01",161.279999
"913","2018-03-02",163.330002
"914","2018-03-05",168.75
"915","2018-03-06",174.660004
"916","2018-03-07",171.729996
"917","2018-03-08",169.470001
"918","2018-03-09",177.75
"919","2018-03-12",178.649994
"920","2018-03-13",173.910004
"921","2018-03-14",173.839996
"922","2018-03-15",174.050003
"923","2018-03-16",172.220001
"924","2018-03-19",166.380005
"925","2018-03-20",166.449997
"926","2018-03-21",166.289993
"927","2018-03-22",160.130005
"928","2018-03-23",156.229996
"929","2018-03-26",163.720001
"930","2018-03-27",154.550003
"931","2018-03-28",158.809998
"932","2018-03-29",161.070007
"933","2018-04-02",145.770004
"934","2018-04-03",143.380005
"935","2018-04-04",146.410004
"936","2018-04-05",147.399994
"937","2018-04-06",141.320007
"938","2018-04-09",156.350006
"939","2018-04-10",169.380005
"940","2018-04-11",167.020004
"941","2018-04-12",169.279999
"942","2018-04-13",170.580002
"943","2018-04-16",162.949997
"944","2018-04-17",168.820007
"945","2018-04-18",172.440002
"946","2018-04-19",169.669998
"947","2018-04-20",148.009995
