"","date","HDS"
"793","2016-08-18",36.220001
"794","2016-08-19",36.310001
"795","2016-08-22",36.610001
"796","2016-08-23",36.27
"797","2016-08-24",36.02
"798","2016-08-25",35.689999
"799","2016-08-26",35.599998
"800","2016-08-29",36.43
"801","2016-08-30",36.450001
"802","2016-08-31",36.110001
"803","2016-09-01",36.16
"804","2016-09-02",36.779999
"805","2016-09-06",36.259998
"806","2016-09-07",31.879999
"807","2016-09-08",31.790001
"808","2016-09-09",30.540001
"809","2016-09-12",31.08
"810","2016-09-13",31.23
"811","2016-09-14",31.74
"812","2016-09-15",32
"813","2016-09-16",31.469999
"814","2016-09-19",31.51
"815","2016-09-20",30.629999
"816","2016-09-21",30.629999
"817","2016-09-22",31.139999
"818","2016-09-23",31.9
"819","2016-09-26",31.27
"820","2016-09-27",31.35
"821","2016-09-28",31.23
"822","2016-09-29",31.43
"823","2016-09-30",31.98
"824","2016-10-03",31.969999
"825","2016-10-04",31.620001
"826","2016-10-05",31.67
"827","2016-10-06",32.73
"828","2016-10-07",32.720001
"829","2016-10-10",32.75
"830","2016-10-11",32.009998
"831","2016-10-12",31.59
"832","2016-10-13",31.559999
"833","2016-10-14",31.4
"834","2016-10-17",31.98
"835","2016-10-18",32.189999
"836","2016-10-19",32.27
"837","2016-10-20",31.82
"838","2016-10-21",31.870001
"839","2016-10-24",32.330002
"840","2016-10-25",32.150002
"841","2016-10-26",32.259998
"842","2016-10-27",32.93
"843","2016-10-28",32.759998
"844","2016-10-31",33
"845","2016-11-01",32.73
"846","2016-11-02",32.950001
"847","2016-11-03",32.73
"848","2016-11-04",31.950001
"849","2016-11-07",32.799999
"850","2016-11-08",33.580002
"851","2016-11-09",35.580002
"852","2016-11-10",36.93
"853","2016-11-11",36.84
"854","2016-11-14",37.310001
"855","2016-11-15",38
"856","2016-11-16",38.349998
"857","2016-11-17",38.34
"858","2016-11-18",38.349998
"859","2016-11-21",38.889999
"860","2016-11-22",39.380001
"861","2016-11-23",39.290001
"862","2016-11-25",39.669998
"863","2016-11-28",38.66
"864","2016-11-29",38.490002
"865","2016-11-30",39.240002
"866","2016-12-01",39.650002
"867","2016-12-02",39.080002
"868","2016-12-05",39.75
"869","2016-12-06",40.889999
"870","2016-12-07",40.790001
"871","2016-12-08",41.369999
"872","2016-12-09",41.540001
"873","2016-12-12",41.490002
"874","2016-12-13",41.540001
"875","2016-12-14",41.610001
"876","2016-12-15",41.900002
"877","2016-12-16",41.450001
"878","2016-12-19",41.529999
"879","2016-12-20",43.330002
"880","2016-12-21",43.380001
"881","2016-12-22",42.830002
"882","2016-12-23",42.91
"883","2016-12-27",43.73
"884","2016-12-28",42.950001
"885","2016-12-29",42.740002
"886","2016-12-30",42.509998
"887","2017-01-03",43.07
"888","2017-01-04",43.439999
"889","2017-01-05",42.77
"890","2017-01-06",42.040001
"891","2017-01-09",42.02
"892","2017-01-10",41.990002
"893","2017-01-11",42.52
"894","2017-01-12",42.75
"895","2017-01-13",41.869999
"896","2017-01-17",40.950001
"897","2017-01-18",41.68
"898","2017-01-19",41.279999
"899","2017-01-20",41.66
"900","2017-01-23",41.869999
"901","2017-01-24",42.599998
"902","2017-01-25",43.25
"903","2017-01-26",43.259998
"904","2017-01-27",42.689999
